 , , ,BKV,,No.,CAPE Name,BKV,Name1,Name2,Comment,,,
274809,UNIV PK N,5U,13.8,=,9115,970 GEN5,13.8,JQ,,,Y,,
274810,UNIV PK N,6U,13.8,=,9116,970 GEN6,13.8,RC,TK,,,,
274811,UNIV PK N,7U,13.8,=,9117,970 GEN7,13.8,JQ,,,Y,,
274812,UNIV PK N,8U,13.8,=,9118,970 GEN8,13.8,RC,TK,,,,
274813,UNIV PK N,9U,13.8,=,9119,970 GEN9,13.8,JQ,,,Y,,
274814,UNIV PK N,0U,13.8,=,9120,970 GEN10,13.8,RC,TK,,,,
274815,UNIV PK N,XU,13.8,=,9121,970 GEN11,13.8,JQ,,,Y,,
274816,UNIV PK N,YU,13.8,=,9122,970 GEN12,13.8,RC,TK,,,,
,,,,,,,,,,,,,
274817,ZION EC,RP,345,=,987,L2223 45B1,345,BG,JQ,,,,
274817,ZION EC,RP,345,=,988,L97401 45B3,345,BG,JQ,,,,
274817,ZION EC,RP,345,=,1014,L15423 45B2,345,BG,JQ,,,,
274817,ZION EC,RP,345,=,1084,PLPL41 45B4,345,BG,JQ,,,,
274817,ZION EC,RP,345,=,9170,T1-T5_HS,345,BG,JQ,,,,
,,,,,,,,,,,,,
270705,CAYUGA RI,BW,345,=,8125,CAYUGA 45B,345,BG,JQ,,,,
,,,,,,,,,,,,,
270904,TOP CROP,P1,345,=,277,TPCRP1 345kV,345,BG,JQ,,,,
,,,,,,,,,,,,,
270905,TOP CROP,P2,345,=,10027,TPCRP2 345kV,345,BG,JQ,,,,
,,,,,,,,,,,,,
270902,TWINGROVE,P1,345,=,233,TWNGRV 45B,345,BG,JQ,,,,
270903,TWINGROVE,P2,345,=,244,ARWSMTH 45B,345,BG,JQ,,,,
,,,,,,,,,,,,,
270802,LASCO STA,B,345,=,207,LASLCO45B,345,BG,JQ,,,,
270802,LASCO STA,B,345,=,208,LASLCO45,345,BG,JQ,,,,
270803,LASCO STA,R,345,=,209,LASLCO45R,345,BG,JQ,,,,
,,,,,,,,,,,,,
270738,FISK,B,345,=,264,FISK45 B5,345,BG,JQ,,,,
270738,FISK,B,345,=,265,FISK45 B6,345,BG,JQ,,,,
270739,FISK,R,345,=,266,FISK45 B7,345,BG,JQ,,,,
270739,FISK,R,345,=,267,FISK45 B8,345,BG,JQ,,,,
270739,FISK,R,345,=,268,FISK45 B9,345,BG,JQ,,,,
,,,,,,,,,,,,,
270716,DRESDEN,B,345,=,291,STA12 Bus 1,345,BG,JQ,,,,
270716,DRESDEN,B,345,=,292,STA12 BUS_2,345,BG,JQ,,,,
270716,DRESDEN,B,345,=,293,STA12 BUS_3,345,BG,JQ,,,,
270716,DRESDEN,B,345,=,294,STA12 BUS_4,345,BG,JQ,,,,
270716,DRESDEN,B,345,=,295,STA12 BUS_5,345,BG,JQ,,,,
270716,DRESDEN,B,345,=,296,STA12 BUS_6,345,BG,JQ,,,,
270716,DRESDEN,B,345,=,297,STA12 BUS_7,345,BG,JQ,,,,
